Airline,AirlineID,Source airport,Source airport ID,Destination airport,Destination airport ID
3K,3021,BKK,3885,SIN,3316
3K,3021,HKG,3077,SIN,3316
3K,3021,KUL,3304,SIN,3316
3K,3021,SIN,3316,BKK,3885
3K,3021,SIN,3316,HKG,3077
3K,3021,SIN,3316,KUL,3304
3K,3021,SIN,3316,TPE,2276
3K,3021,TPE,2276,SIN,3316
3M,20710,FLL,3533,MCO,3878
3M,20710,MCO,3878,FLL,3533
3U,4608,CAN,3370,CKG,3393
3U,4608,CAN,3370,CTU,3395
3U,4608,CKG,3393,CAN,3370
3U,4608,CKG,3393,CTU,3395
3U,4608,CKG,3393,KMG,3382
3U,4608,CKG,3393,PEK,3364
3U,4608,CKG,3393,PVG,3406
3U,4608,CTU,3395,CAN,3370
3U,4608,CTU,3395,CKG,3393
3U,4608,CTU,3395,HKG,3077
3U,4608,CTU,3395,ICN,3930
3U,4608,CTU,3395,KMG,3382
3U,4608,CTU,3395,PEK,3364
3U,4608,CTU,3395,PVG,3406
3U,4608,HKG,3077,CTU,3395
3U,4608,ICN,3930,CTU,3395
3U,4608,KMG,3382,CKG,3393
3U,4608,KMG,3382,CTU,3395
3U,4608,KMG,3382,TPE,2276
3U,4608,PEK,3364,CKG,3393
3U,4608,PEK,3364,CTU,3395
3U,4608,PVG,3406,CKG,3393
3U,4608,PVG,3406,CTU,3395
3U,4608,TPE,2276,KMG,3382
4B,20565,LAS,3877,LAX,3484
4B,20565,LAX,3484,LAS,3877
4O,17885,JFK,3797,MEX,1824
4O,17885,MEX,1824,JFK,3797
4O,17885,MEX,1824,MIA,3576
4O,17885,MIA,3576,MEX,1824
4U,2548,AGP,1230,TXL,351
4U,2548,ARN,737,CGN,344
4U,2548,ARN,737,DUS,345
4U,2548,ATH,3941,CGN,344
4U,2548,BCN,1218,CGN,344
4U,2548,BCN,1218,DUS,345
4U,2548,CGN,344,ARN,737
4U,2548,CGN,344,ATH,3941
4U,2548,CGN,344,BCN,1218
4U,2548,CGN,344,DUB,599
4U,2548,CGN,344,FCO,1555
4U,2548,CGN,344,LHR,507
4U,2548,CGN,344,LIS,1638
4U,2548,CGN,344,MAN,478
4U,2548,CGN,344,MXP,1524
4U,2548,CGN,344,NCE,1354
4U,2548,CGN,344,PMI,3998
4U,2548,CGN,344,PRG,1587
4U,2548,CGN,344,SAW,4317
4U,2548,CGN,344,STN,548
4U,2548,CGN,344,TXL,351
4U,2548,CGN,344,VIE,1613
4U,2548,CGN,344,ZRH,1678
4U,2548,DUB,599,CGN,344
4U,2548,DUB,599,DUS,345
4U,2548,DUS,345,ARN,737
4U,2548,DUS,345,BCN,1218
4U,2548,DUS,345,DUB,599
4U,2548,DUS,345,GVA,1665
4U,2548,DUS,345,MAD,1229
4U,2548,DUS,345,MXP,1524
4U,2548,DUS,345,PMI,3998
4U,2548,DUS,345,PRG,1587
4U,2548,FCO,1555,CGN,344
4U,2548,FCO,1555,TXL,351
4U,2548,GVA,1665,DUS,345
4U,2548,LHR,507,CGN,344
4U,2548,LHR,507,TXL,351
4U,2548,LIS,1638,CGN,344
4U,2548,MAD,1229,DUS,345
4U,2548,MAN,478,CGN,344
4U,2548,MXP,1524,CGN,344
4U,2548,MXP,1524,DUS,345
4U,2548,NCE,1354,CGN,344
4U,2548,NCE,1354,TXL,351
4U,2548,PMI,3998,CGN,344
4U,2548,PMI,3998,DUS,345
4U,2548,PMI,3998,TXL,351
4U,2548,PRG,1587,CGN,344
4U,2548,PRG,1587,DUS,345
4U,2548,SAW,4317,CGN,344
4U,2548,SAW,4317,TXL,351
4U,2548,STN,548,CGN,344
4U,2548,TXL,351,AGP,1230
4U,2548,TXL,351,CGN,344
4U,2548,TXL,351,FCO,1555
4U,2548,TXL,351,LHR,507
4U,2548,TXL,351,NCE,1354
4U,2548,TXL,351,PMI,3998
4U,2548,TXL,351,SAW,4317
4U,2548,TXL,351,VIE,1613
4U,2548,VIE,1613,CGN,344
4U,2548,VIE,1613,TXL,351
4U,2548,ZRH,1678,CGN,344
6E,2850,BKK,3885,DEL,3093
6E,2850,DEL,3093,BKK,3885
6E,2850,DEL,3093,DXB,2188
6E,2850,DXB,2188,DEL,3093
6R,1340,DME,4029,LED,2948
6R,1340,LED,2948,DME,4029
7C,2994,BKK,3885,ICN,3930
7C,2994,HKG,3077,ICN,3930
7C,2994,ICN,3930,BKK,3885
7C,2994,ICN,3930,HKG,3077
7C,2994,ICN,3930,NRT,2279
7C,2994,NRT,2279,ICN,3930
8B,17408,BKK,3885,CKG,3393
8B,17408,CKG,3393,BKK,3885
8L,2942,KMG,3382,PEK,3364
8L,2942,KMG,3382,PVG,3406
8L,2942,PEK,3364,KMG,3382
8L,2942,PVG,3406,KMG,3382
8Q,3788,CDG,1382,IST,1701
